Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
34,K_Adamberg_Lactococcus_lactis_growth,0.00010307,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,22.0156,Celsius,Growth
35,K_Adamberg_Lactococcus_lactis_growth,0.00011079,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,23.0691,Celsius,Growth
36,K_Adamberg_Lactococcus_lactis_growth,0.00011765,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,24.0145,Celsius,Growth
37,K_Adamberg_Lactococcus_lactis_growth,0.00011767,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,25.0411,Celsius,Growth
38,K_Adamberg_Lactococcus_lactis_growth,0.00013909,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,26.0133,Celsius,Growth
39,K_Adamberg_Lactococcus_lactis_growth,0.00015366,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,27.0397,Celsius,Growth
40,K_Adamberg_Lactococcus_lactis_growth,0.00016738,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,28.012,Celsius,Growth
41,K_Adamberg_Lactococcus_lactis_growth,0.00017766,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,29.0114,Celsius,Growth
42,K_Adamberg_Lactococcus_lactis_growth,0.00018539,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,30.0109,Celsius,Growth
43,K_Adamberg_Lactococcus_lactis_growth,0.00019653,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,31.0103,Celsius,Growth
44,K_Adamberg_Lactococcus_lactis_growth,0.00021025,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,32.0096,Celsius,Growth
45,K_Adamberg_Lactococcus_lactis_growth,0.00021968,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,33.009,Celsius,Growth
46,K_Adamberg_Lactococcus_lactis_growth,0.00022911,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,34.0085,Celsius,Growth
47,K_Adamberg_Lactococcus_lactis_growth,0.00024026,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,35.0078,Celsius,Growth
48,K_Adamberg_Lactococcus_lactis_growth,0.00024712,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,36.0073,Celsius,Growth
49,K_Adamberg_Lactococcus_lactis_growth,0.00026341,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,37.0336,Celsius,Growth
50,K_Adamberg_Lactococcus_lactis_growth,0.00026085,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,38.0062,Celsius,Growth
51,K_Adamberg_Lactococcus_lactis_growth,0.00024374,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,39.033,Celsius,Growth
52,K_Adamberg_Lactococcus_lactis_growth,0.00018638,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,40.0334,Celsius,Growth
53,K_Adamberg_Lactococcus_lactis_growth,0.00014787,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,41.0605,Celsius,Growth
54,K_Adamberg_Lactobacillus_delbrueckii_growth,0.000099,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,35.0098,Celsius,Growth
55,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00011526,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,36.0362,Celsius,Growth
56,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00014438,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,37.0083,Celsius,Growth
57,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00016067,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,38.0346,Celsius,Growth
58,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00018637,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,39.0068,Celsius,Growth
59,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00023091,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,40.0598,Celsius,Growth
60,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00027545,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,41.0317,Celsius,Growth
61,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00028574,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,42.004,Celsius,Growth
62,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029175,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,43.0035,Celsius,Growth
63,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029776,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,44.057,Celsius,Growth
64,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029863,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,45.0025,Celsius,Growth
65,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00029608,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,46.0291,Celsius,Growth
66,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00028667,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,47.0288,Celsius,Growth
67,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00023188,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,48.0021,Celsius,Growth
68,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00020792,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,49.056,Celsius,Growth
69,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00019167,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,50.0558,Celsius,Growth
70,K_Adamberg_Lactobacillus_delbrueckii_growth,0.00018569,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii,51.0014,Celsius,Growth
71,K_Adamberg_Lactobacillus_acidophilus_growth,0.00011868,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,36.0361,Celsius,Growth
72,K_Adamberg_Lactobacillus_acidophilus_growth,0.00012298,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,37.0356,Celsius,Growth
73,K_Adamberg_Lactobacillus_acidophilus_growth,0.00012642,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,38.0351,Celsius,Growth
74,K_Adamberg_Lactobacillus_acidophilus_growth,0.00013585,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,39.0616,Celsius,Growth
75,K_Adamberg_Lactobacillus_acidophilus_growth,0.00014186,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,40.007,Celsius,Growth
76,K_Adamberg_Lactobacillus_acidophilus_growth,0.00014701,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,41.0065,Celsius,Growth
77,K_Adamberg_Lactobacillus_acidophilus_growth,0.00015302,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,42.0329,Celsius,Growth
78,K_Adamberg_Lactobacillus_acidophilus_growth,0.00014105,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,43.0867,Celsius,Growth
79,K_Adamberg_Lactobacillus_acidophilus_growth,0.00012821,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,44.0054,Celsius,Growth
80,K_Adamberg_Lactobacillus_acidophilus_growth,0.0001111,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,45.0592,Celsius,Growth
81,K_Adamberg_Lactobacillus_acidophilus_growth,0.000088,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,46.0051,Celsius,Growth
82,K_Adamberg_Lactobacillus_acidophilus_growth,0.0000469,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,47.0052,Celsius,Growth
83,K_Adamberg_Lactobacillus_acidophilus_growth,0.0000469,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,48.0047,Celsius,Growth
84,K_Adamberg_Lactobacillus_paracasei_growth,0.00000522,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,6.05125,Celsius,Growth
85,K_Adamberg_Lactobacillus_paracasei_growth,0.00000352,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,6.9968,Celsius,Growth
86,K_Adamberg_Lactobacillus_paracasei_growth,0.00000782,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,7.99629,Celsius,Growth
87,K_Adamberg_Lactobacillus_paracasei_growth,0.00000527,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,9.02289,Celsius,Growth
88,K_Adamberg_Lactobacillus_paracasei_growth,0.00000528,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,10.0224,Celsius,Growth
89,K_Adamberg_Lactobacillus_paracasei_growth,0.00000701,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,11.022,Celsius,Growth
90,K_Adamberg_Lactobacillus_paracasei_growth,0.00000873,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,12.0215,Celsius,Growth
91,K_Adamberg_Lactobacillus_paracasei_growth,0.0000139,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,13.021,Celsius,Growth
92,K_Adamberg_Lactobacillus_paracasei_growth,0.0000139,s^-1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei,14.0205,Celsius,Growth
