Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
33,Boyd_Acidilobus_sulfurireducens_sulfur,0.014129194,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,76,Celsius,Respiration
34,Boyd_Acidilobus_sulfurireducens_sulfur,0.023933111,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,78,Celsius,Respiration
35,Boyd_Acidilobus_sulfurireducens_sulfur,0.027624,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,80,Celsius,Respiration
36,Boyd_Acidilobus_sulfurireducens_sulfur,0.0296425,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,81,Celsius,Respiration
37,Boyd_Acidilobus_sulfurireducens_sulfur,0.015513278,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,83,Celsius,Respiration
38,Boyd_Acidilobus_sulfurireducens_sulfur,0.00991925,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,86,Celsius,Respiration
39,Boyd_Acidilobus_sulfurireducens_sulfur,0.005709333,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,sulfurireducens,89,Celsius,Respiration
40,Boyd_Caldisphaera_draconis_Sulphide,0.004886111,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,60,Celsius,Respiration
41,Boyd_Caldisphaera_draconis_Sulphide,0.004061111,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,64,Celsius,Respiration
42,Boyd_Caldisphaera_draconis_Sulphide,0.010955556,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,68,Celsius,Respiration
43,Boyd_Caldisphaera_draconis_Sulphide,0.030041667,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,70,Celsius,Respiration
44,Boyd_Caldisphaera_draconis_Sulphide,0.017591667,umol L^-1 s^-1,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,draconis,72,Celsius,Respiration
